"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent","HistDisadv_fs","InstitEngage_fs"
5,4,5,4,3,5,5,3,3,2,3,2,4,2,2,4,4,3,1,1,6,5,5,1,1,1,11,8,2,3,1,5,5,8,8,7,5,1,7,6,-0.391208831407869,-0.0608042369693879,-0.71566310623313
5,4,5,5,4,4,5,3,3,2,5,3,5,2,5,2,4,3,1,1,2,3,1,0,1,1,13,8,2,3,1,3,4,8,4,5,8,7,4,6,-0.417019673044807,-0.443241260909589,0.146163163492207
5,5,5,5,4,4,4,3,3,5,4,3,4,5,4,4,4,2,1,2,8,5,2,0,0,0,14,6,1,3,1,5,4,4,7,6,6,4,3,4,0.145675190540327,-0.685279984173218,0.282590129971202
5,5,5,5,4,3,4,1,3,2,4,4,4,4,4,5,4,3,1,2,3,3,5,1,2,1,5,8,2,3,1,4,4,13,7,7,8,4,4,2,0.00189155659697258,0.62130547351084,-0.130119943492581
4,4,4,4,4,5,5,3,3,4,3,4,3,3,4,4,5,1,1,2,2,3,1,0,1,1,11,8,1,3,1,5,5,3,6,5,8,6,3,5,-0.140488137621743,-0.0365369968364204,-0.415540557960742
4,4,5,4,4,4,4,3,3,2,3,3,4,4,3,4,4,2,1,1,8,2,4,1,1,0,7,7,2,3,1,3,4,3,5,7,5,2,3,5,-0.140488137621743,0.28375086160652,-0.381540013295937
5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,3,2,1,1,8,5,2,0,0,0,12,7,2,2,1,4,4,7,7,7,6,4,3,5,0.145675190540327,-0.463892244133779,0.0722670879072252
4,4,5,4,4,4,4,2,3,4,4,3,4,4,2,4,2,3,1,2,8,5,2,0,2,0,11,7,2,3,1,4,4,3,6,6,5,1,2,5,-0.297088611476105,-0.136700016807631,-0.159460992510862
4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,2,1,1,8,6,3,1,2,0,11,6,1,3,1,4,4,5,5,5,8,4,1,5,-0.566837097427444,0.0296595986182959,-1.3374633156466
5,5,5,5,4,3,5,3,3,5,5,5,4,3,3,5,4,3,1,1,8,3,3,1,1,0,1,6,1,3,1,4,5,2,8,8,6,5,4,4,0.334847517274045,0.945593691726599,0.0840230666283232
5,5,5,5,2,4,5,2,1,3,3,3,3,3,4,2,1,2,1,1,5,5,2,0,1,1,14,6,2,3,1,4,4,13,3,5,5,5,3,5,-0.678615122510704,-0.61967410681606,-0.516734073660645
4,4,4,3,2,3,3,3,2,4,3,4,3,5,3,4,4,3,1,1,2,1,2,0,1,1,3,8,2,3,1,5,2,5,5,8,4,3,2,4,-0.587054233787105,0.644735695062384,-0.313145545441637
4,4,5,4,4,3,4,2,2,2,4,3,5,4,4,4,4,2,1,2,5,8,5,1,2,0,10,4,2,3,1,4,3,14,4,6,8,5,8,3,-0.297088611476105,0.0651317579341854,0.113002146416999
5,5,5,5,5,3,4,2,3,5,5,4,5,5,5,5,5,2,1,1,8,8,2,0,1,0,5,5,1,3,1,3,4,2,5,5,5,4,3,4,0.436069280573343,0.461133591137649,0.777132289684139
5,5,5,5,5,4,5,3,3,3,3,3,4,4,4,3,4,3,1,2,1,1,2,0,1,1,2,7,1,1,1,3,5,13,6,3,3,2,4,4,0.237024930228086,0.826367581606665,-0.164482457386991
4,4,4,4,5,3,3,3,3,4,4,3,4,3,4,4,4,3,1,1,2,5,2,0,2,1,7,5,2,3,1,3,3,4,5,7,5,1,3,3,0.120118371760654,0.387133981232375,-0.0368624384568492
5,5,5,4,4,4,4,2,3,2,4,4,5,4,4,4,5,1,2,2,2,2,3,1,2,1,5,1,2,1,1,2,3,9,5,1,3,1,1,5,-0.0132023596756852,0.62130547351084,0.113002146416999
4,4,5,4,4,3,4,2,3,4,4,2,4,3,4,5,4,3,1,1,3,1,3,1,2,1,2,7,2,3,1,4,5,3,7,5,7,4,3,4,-0.116465254366549,0.899966430778293,-0.0368624384568492
3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,1,1,1,3,1,2,1,5,7,2,3,1,3,4,5,4,4,4,4,4,4,-0.928429599371156,0.62130547351084,-0.632598113869689
5,5,5,5,5,3,5,3,3,4,4,2,4,5,5,4,5,2,1,2,5,4,5,1,0,1,14,5,2,3,1,3,4,3,5,5,5,1,1,4,0.41816368219865,-0.624066347572589,0.297260654480343
5,4,5,5,5,4,4,3,3,5,4,5,5,5,4,5,3,3,1,1,8,8,2,0,0,0,2,6,1,3,1,4,4,3,5,5,5,3,3,4,0.310772166726024,0.645451769353241,0.525712219880782
5,5,5,5,5,3,4,2,2,3,4,4,4,3,4,4,4,3,1,1,6,3,2,0,1,1,5,3,1,3,1,3,4,16,4,3,5,3,3,2,0.241054132372064,0.554350420722706,-0.138055954156752
4,5,5,5,4,3,3,2,3,4,4,1,5,5,5,4,3,2,1,1,8,6,2,0,2,0,5,7,1,3,1,4,5,8,6,6,4,1,1,4,-0.0132023596756852,0.538032207612498,0.540382744389923
5,4,4,4,4,4,4,3,3,5,4,4,4,4,5,5,3,3,1,2,8,3,3,1,0,0,7,8,1,6,1,5,5,3,6,7,6,1,4,5,0.0437666564572614,0.29023148024046,0.289324643816172
5,5,5,5,5,3,3,3,3,4,3,2,2,4,3,2,4,1,1,1,6,3,1,0,1,1,2,7,2,3,1,4,5,13,5,4,4,4,4,6,0.120138497018443,0.748896917909429,-0.665397161715291
