"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","CSSRAT01","CSSRAT07","SUCCESS4","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","HistDisadv"
4,4,4,4,4,3,2,4,4,4,4,4,4,3,2,1,2,6,3,2,0,2,1,10,8,2,3,1,3,3,3,6,7,6,2,3,0.0784965848997547
5,4,5,4,5,4,2,3,2,4,4,2,3,4,2,1,2,6,8,1,0,1,0,8,7,2,3,1,4,1,10,4,6,8,3,3,0.118708149113598
5,4,4,4,4,4,2,3,4,3,5,3,5,5,3,2,1,5,6,5,1,2,1,7,6,2,3,1,5,4,12,5,5,5,5,4,0.441887207489413
5,4,5,5,4,5,2,3,4,4,4,4,3,5,3,1,1,6,2,3,1,1,1,7,8,2,3,1,5,5,10,5,6,5,4,5,0.362623165178018
5,4,5,4,3,3,2,5,2,2,5,2,4,3,3,1,2,3,3,4,1,1,1,3,7,1,3,1,5,5,3,4,5,8,5,7,0.763271996162182
5,5,5,5,3,4,2,3,4,4,2,2,3,5,3,1,1,5,5,5,1,0,1,11,7,2,3,1,3,4,2,6,6,8,6,4,-0.142091186451136
5,4,5,4,3,3,3,3,3,3,4,2,3,3,2,1,1,4,2,1,0,1,1,13,6,2,3,1,4,4,7,4,5,6,4,1,-0.431829612299917
5,4,5,4,4,4,3,3,3,4,2,2,2,4,3,1,2,6,5,2,0,1,1,3,7,1,1,1,3,3,13,1,1,8,8,7,0.700126733061193
5,4,5,4,5,5,3,2,3,2,4,2,2,4,3,1,1,6,5,5,1,1,1,11,8,2,3,1,5,5,8,8,7,5,1,7,-0.0617836717056655
5,4,5,5,4,5,3,2,5,3,5,2,5,4,3,1,1,2,3,1,0,1,1,13,8,2,3,1,3,4,8,4,5,8,7,4,-0.431829612299917
5,5,5,5,4,4,3,5,4,3,4,5,4,4,2,1,2,8,5,2,0,0,0,14,6,1,3,1,5,4,11,7,6,6,4,3,-0.658970287281948
5,5,5,5,3,4,1,2,4,4,4,4,4,4,3,1,2,3,3,5,1,2,1,5,8,2,3,1,4,4,13,7,7,8,4,4,0.599732151275174
4,4,4,4,5,5,3,4,3,4,3,3,4,5,1,1,2,2,3,1,0,1,1,11,8,1,3,1,5,5,3,6,5,8,6,3,-0.0341531552928602
4,4,5,4,4,4,3,2,3,3,4,4,3,4,2,1,1,8,2,4,1,1,0,7,7,2,3,1,3,4,3,5,7,5,2,3,0.278727958992923
5,5,5,5,4,4,3,4,4,4,4,4,4,3,2,1,1,8,5,2,0,0,0,12,7,2,2,1,4,4,7,7,7,6,4,3,-0.448278988621203
4,4,5,4,4,4,2,4,4,3,4,4,2,2,3,1,2,8,5,2,0,2,0,11,7,2,3,1,4,4,3,6,6,5,1,2,-0.128186968164589
